Month,Cupcake
2004-01,4
2004-02,7
2004-03,5
2004-04,6
2004-05,5
2004-06,6
2004-07,5
2004-08,6
2004-09,5
2004-10,9
2004-11,7
2004-12,6
2005-01,7
2005-02,7
2005-03,10
2005-04,7
2005-05,7
2005-06,7
2005-07,8
2005-08,8
2005-09,8
2005-10,11
2005-11,8
2005-12,7
2006-01,9
2006-02,12
2006-03,10
2006-04,11
2006-05,11
2006-06,11
2006-07,10
2006-08,11
2006-09,12
2006-10,16
2006-11,11
2006-12,13
2007-01,12
2007-02,16
2007-03,15
2007-04,15
2007-05,17
2007-06,18
2007-07,19
2007-08,19
2007-09,18
2007-10,23
2007-11,19
2007-12,17
2008-01,19
2008-02,23
2008-03,25
2008-04,24
2008-05,25
2008-06,24
2008-07,25
2008-08,27
2008-09,26
2008-10,32
2008-11,28
2008-12,27
2009-01,29
2009-02,36
2009-03,34
2009-04,36
2009-05,36
2009-06,36
2009-07,37
2009-08,38
2009-09,37
2009-10,43
2009-11,38
2009-12,36
2010-01,37
2010-02,47
2010-03,46
2010-04,45
2010-05,47
2010-06,48
2010-07,56
2010-08,62
2010-09,61
2010-10,62
2010-11,58
2010-12,55
2011-01,58
2011-02,73
2011-03,70
2011-04,73
2011-05,69
2011-06,70
2011-07,70
2011-08,76
2011-09,73
2011-10,86
2011-11,82
2011-12,78
2012-01,77
2012-02,94
2012-03,92
2012-04,94
2012-05,94
2012-06,89
2012-07,89
2012-08,86
2012-09,91
2012-10,100
2012-11,87
2012-12,83
2013-01,80
2013-02,99
2013-03,99
2013-04,89
2013-05,91
2013-06,83
2013-07,86
2013-08,85
2013-09,85
2013-10,96
2013-11,86
2013-12,85
2014-01,82
2014-02,100
2014-03,91
2014-04,90
2014-05,84
2014-06,79
2014-07,80
2014-08,81
2014-09,83
2014-10,92
2014-11,84
2014-12,76
2015-01,73
2015-02,87
2015-03,79
2015-04,76
2015-05,76
2015-06,72
2015-07,72
2015-08,70
2015-09,69
2015-10,83
2015-11,69
2015-12,68
2016-01,67
2016-02,75
2016-03,73
2016-04,65
2016-05,65
2016-06,63
2016-07,61
2016-08,58
2016-09,61
2016-10,67
2016-11,59
2016-12,58
2017-01,55
2017-02,71
2017-03,61
2017-04,60
2017-05,57
2017-06,54
2017-07,52
2017-08,52
2017-09,52
2017-10,62
2017-11,53
2017-12,50
2018-01,49
2018-02,59
2018-03,56
2018-04,50
2018-05,52
2018-06,48
2018-07,48
2018-08,47
2018-09,48
2018-10,52
2018-11,50
2018-12,48
2019-01,50
2019-02,57
2019-03,50
2019-04,50
2019-05,45
2019-06,44
2019-07,42
2019-08,45
2019-09,43
2019-10,54
2019-11,45
2019-12,43
2020-01,42
2020-02,51
2020-03,44
2020-04,57
2020-05,58
2020-06,51
2020-07,49
2020-08,46
2020-09,45
2020-10,49
2020-11,43
2020-12,44
2021-01,42
2021-02,54
2021-03,47
2021-04,43
2021-05,43
2021-06,40
2021-07,38
